Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR18547582	NGA71-WGS	Illumina MiSeq	2880	1649131200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18547582/SRR18547582.sra	SRR18547582.sra	SRR18547582_NGA71-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/082/SRR18547582/SRR18547582_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/082/SRR18547582/SRR18547582_1.fastq.gz	SRR18547582_1.fastq.gz	SRR18547582_NGA71-WGS_1.fastq.gz
SRR18547582	NGA71-WGS	Illumina MiSeq	2880	1649131200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18547582/SRR18547582.sra	SRR18547582.sra	SRR18547582_NGA71-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/082/SRR18547582/SRR18547582_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/082/SRR18547582/SRR18547582_2.fastq.gz	SRR18547582_2.fastq.gz	SRR18547582_NGA71-WGS_2.fastq.gz
SRR18547536	NGA66a-WGS	Illumina MiSeq	2455	1649044800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18547536/SRR18547536.sra	SRR18547536.sra	SRR18547536_NGA66a-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/036/SRR18547536/SRR18547536_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/036/SRR18547536/SRR18547536_1.fastq.gz	SRR18547536_1.fastq.gz	SRR18547536_NGA66a-WGS_1.fastq.gz
SRR18547536	NGA66a-WGS	Illumina MiSeq	2455	1649044800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18547536/SRR18547536.sra	SRR18547536.sra	SRR18547536_NGA66a-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/036/SRR18547536/SRR18547536_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/036/SRR18547536/SRR18547536_2.fastq.gz	SRR18547536_2.fastq.gz	SRR18547536_NGA66a-WGS_2.fastq.gz
SRR18546551	NGA76-WGS	Illumina MiSeq	2461	1649044800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18546551/SRR18546551.sra	SRR18546551.sra	SRR18546551_NGA76-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/051/SRR18546551/SRR18546551_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/051/SRR18546551/SRR18546551_1.fastq.gz	SRR18546551_1.fastq.gz	SRR18546551_NGA76-WGS_1.fastq.gz
SRR18546551	NGA76-WGS	Illumina MiSeq	2461	1649044800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18546551/SRR18546551.sra	SRR18546551.sra	SRR18546551_NGA76-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/051/SRR18546551/SRR18546551_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/051/SRR18546551/SRR18546551_2.fastq.gz	SRR18546551_2.fastq.gz	SRR18546551_NGA76-WGS_2.fastq.gz
SRR18547525	NGA104a-WGS	Illumina MiSeq	2140	1649044800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18547525/SRR18547525.sra	SRR18547525.sra	SRR18547525_NGA104a-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/025/SRR18547525/SRR18547525_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/025/SRR18547525/SRR18547525_1.fastq.gz	SRR18547525_1.fastq.gz	SRR18547525_NGA104a-WGS_1.fastq.gz
SRR18547525	NGA104a-WGS	Illumina MiSeq	2140	1649044800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18547525/SRR18547525.sra	SRR18547525.sra	SRR18547525_NGA104a-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/025/SRR18547525/SRR18547525_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/025/SRR18547525/SRR18547525_2.fastq.gz	SRR18547525_2.fastq.gz	SRR18547525_NGA104a-WGS_2.fastq.gz
SRR18547403	NGA84b-WGS	Illumina MiSeq	2249	1649044800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18547403/SRR18547403.sra	SRR18547403.sra	SRR18547403_NGA84b-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/003/SRR18547403/SRR18547403_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/003/SRR18547403/SRR18547403_1.fastq.gz	SRR18547403_1.fastq.gz	SRR18547403_NGA84b-WGS_1.fastq.gz
SRR18547403	NGA84b-WGS	Illumina MiSeq	2249	1649044800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18547403/SRR18547403.sra	SRR18547403.sra	SRR18547403_NGA84b-WGS.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/003/SRR18547403/SRR18547403_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR185/003/SRR18547403/SRR18547403_2.fastq.gz	SRR18547403_2.fastq.gz	SRR18547403_NGA84b-WGS_2.fastq.gz
