Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
ERR4626524	Illumina MiSeq paired end sequencing; EXP-187-1-2020-09-25_23-02-18	Illumina MiSeq	4030	1602820800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR462/ERR4626524/ERR4626524.sra	ERR4626524.sra	ERR4626524_Illumina_MiSeq_paired_end_sequencing_EXP-187-1-2020-09-25_23-02-18.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR462/004/ERR4626524/ERR4626524_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR462/004/ERR4626524/ERR4626524_1.fastq.gz	ERR4626524_1.fastq.gz	ERR4626524_Illumina_MiSeq_paired_end_sequencing_EXP-187-1-2020-09-25_23-02-18_1.fastq.gz
ERR4626524	Illumina MiSeq paired end sequencing; EXP-187-1-2020-09-25_23-02-18	Illumina MiSeq	4030	1602820800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR462/ERR4626524/ERR4626524.sra	ERR4626524.sra	ERR4626524_Illumina_MiSeq_paired_end_sequencing_EXP-187-1-2020-09-25_23-02-18.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR462/004/ERR4626524/ERR4626524_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR462/004/ERR4626524/ERR4626524_2.fastq.gz	ERR4626524_2.fastq.gz	ERR4626524_Illumina_MiSeq_paired_end_sequencing_EXP-187-1-2020-09-25_23-02-18_2.fastq.gz
ERR4626523	Illumina MiSeq paired end sequencing; EXP-186-1-2020-09-25_23-02-18	Illumina MiSeq	4647	1602820800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR462/ERR4626523/ERR4626523.sra	ERR4626523.sra	ERR4626523_Illumina_MiSeq_paired_end_sequencing_EXP-186-1-2020-09-25_23-02-18.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR462/003/ERR4626523/ERR4626523_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR462/003/ERR4626523/ERR4626523_1.fastq.gz	ERR4626523_1.fastq.gz	ERR4626523_Illumina_MiSeq_paired_end_sequencing_EXP-186-1-2020-09-25_23-02-18_1.fastq.gz
ERR4626523	Illumina MiSeq paired end sequencing; EXP-186-1-2020-09-25_23-02-18	Illumina MiSeq	4647	1602820800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/ERR/ERR462/ERR4626523/ERR4626523.sra	ERR4626523.sra	ERR4626523_Illumina_MiSeq_paired_end_sequencing_EXP-186-1-2020-09-25_23-02-18.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR462/003/ERR4626523/ERR4626523_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR462/003/ERR4626523/ERR4626523_2.fastq.gz	ERR4626523_2.fastq.gz	ERR4626523_Illumina_MiSeq_paired_end_sequencing_EXP-186-1-2020-09-25_23-02-18_2.fastq.gz
SRR1639590	Whole Genome Sequencing of Staphylococcus aureus 917	Illumina MiSeq	7850	1415077200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR163/SRR1639590/SRR1639590.sra	SRR1639590.sra	SRR1639590_Whole_Genome_Sequencing_of_Staphylococcus_aureus_917.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/000/SRR1639590/SRR1639590_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR163/000/SRR1639590/SRR1639590_1.fastq.gz	SRR1639590_1.fastq.gz	SRR1639590_Whole_Genome_Sequencing_of_Staphylococcus_aureus_917_1.fastq.gz
SRR1639590	Whole Genome Sequencing of Staphylococcus aureus 917	Illumina MiSeq	7850	1415077200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR163/SRR1639590/SRR1639590.sra	SRR1639590.sra	SRR1639590_Whole_Genome_Sequencing_of_Staphylococcus_aureus_917.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR163/000/SRR1639590/SRR1639590_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR163/000/SRR1639590/SRR1639590_2.fastq.gz	SRR1639590_2.fastq.gz	SRR1639590_Whole_Genome_Sequencing_of_Staphylococcus_aureus_917_2.fastq.gz
SRR10364849	WGS of Staphylococcus aureus clinical isolate	Illumina MiSeq	7368	1572408000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR10364849/SRR10364849.sra	SRR10364849.sra	SRR10364849_WGS_of_Staphylococcus_aureus_clinical_isolate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/049/SRR10364849/SRR10364849_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/049/SRR10364849/SRR10364849_1.fastq.gz	SRR10364849_1.fastq.gz	SRR10364849_WGS_of_Staphylococcus_aureus_clinical_isolate_1.fastq.gz
SRR10364849	WGS of Staphylococcus aureus clinical isolate	Illumina MiSeq	7368	1572408000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR10364849/SRR10364849.sra	SRR10364849.sra	SRR10364849_WGS_of_Staphylococcus_aureus_clinical_isolate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/049/SRR10364849/SRR10364849_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/049/SRR10364849/SRR10364849_2.fastq.gz	SRR10364849_2.fastq.gz	SRR10364849_WGS_of_Staphylococcus_aureus_clinical_isolate_2.fastq.gz
SRR10364845	WGS of Staphylococcus aureus clinical isolate	Illumina MiSeq	8856	1572408000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR10364845/SRR10364845.sra	SRR10364845.sra	SRR10364845_WGS_of_Staphylococcus_aureus_clinical_isolate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/045/SRR10364845/SRR10364845_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/045/SRR10364845/SRR10364845_1.fastq.gz	SRR10364845_1.fastq.gz	SRR10364845_WGS_of_Staphylococcus_aureus_clinical_isolate_1.fastq.gz
SRR10364845	WGS of Staphylococcus aureus clinical isolate	Illumina MiSeq	8856	1572408000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR10364845/SRR10364845.sra	SRR10364845.sra	SRR10364845_WGS_of_Staphylococcus_aureus_clinical_isolate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/045/SRR10364845/SRR10364845_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR103/045/SRR10364845/SRR10364845_2.fastq.gz	SRR10364845_2.fastq.gz	SRR10364845_WGS_of_Staphylococcus_aureus_clinical_isolate_2.fastq.gz
