Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR14213634	Genome sequencing of Staphylococcus aureus R3	NextSeq 550	6006	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213634/SRR14213634.sra	SRR14213634.sra	SRR14213634_Genome_sequencing_of_Staphylococcus_aureus_R3.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/034/SRR14213634/SRR14213634_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/034/SRR14213634/SRR14213634_1.fastq.gz	SRR14213634_1.fastq.gz	SRR14213634_Genome_sequencing_of_Staphylococcus_aureus_R3_1.fastq.gz
SRR14213634	Genome sequencing of Staphylococcus aureus R3	NextSeq 550	6006	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213634/SRR14213634.sra	SRR14213634.sra	SRR14213634_Genome_sequencing_of_Staphylococcus_aureus_R3.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/034/SRR14213634/SRR14213634_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/034/SRR14213634/SRR14213634_2.fastq.gz	SRR14213634_2.fastq.gz	SRR14213634_Genome_sequencing_of_Staphylococcus_aureus_R3_2.fastq.gz
SRR14213635	Genome sequencing of Staphylococcus aureus R1	NextSeq 550	5288	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213635/SRR14213635.sra	SRR14213635.sra	SRR14213635_Genome_sequencing_of_Staphylococcus_aureus_R1.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/035/SRR14213635/SRR14213635_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/035/SRR14213635/SRR14213635_1.fastq.gz	SRR14213635_1.fastq.gz	SRR14213635_Genome_sequencing_of_Staphylococcus_aureus_R1_1.fastq.gz
SRR14213635	Genome sequencing of Staphylococcus aureus R1	NextSeq 550	5288	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213635/SRR14213635.sra	SRR14213635.sra	SRR14213635_Genome_sequencing_of_Staphylococcus_aureus_R1.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/035/SRR14213635/SRR14213635_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/035/SRR14213635/SRR14213635_2.fastq.gz	SRR14213635_2.fastq.gz	SRR14213635_Genome_sequencing_of_Staphylococcus_aureus_R1_2.fastq.gz
SRR14213632	Genome sequencing of Staphylococcus aureus R6	NextSeq 550	6417	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213632/SRR14213632.sra	SRR14213632.sra	SRR14213632_Genome_sequencing_of_Staphylococcus_aureus_R6.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/032/SRR14213632/SRR14213632_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/032/SRR14213632/SRR14213632_1.fastq.gz	SRR14213632_1.fastq.gz	SRR14213632_Genome_sequencing_of_Staphylococcus_aureus_R6_1.fastq.gz
SRR14213632	Genome sequencing of Staphylococcus aureus R6	NextSeq 550	6417	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213632/SRR14213632.sra	SRR14213632.sra	SRR14213632_Genome_sequencing_of_Staphylococcus_aureus_R6.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/032/SRR14213632/SRR14213632_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/032/SRR14213632/SRR14213632_2.fastq.gz	SRR14213632_2.fastq.gz	SRR14213632_Genome_sequencing_of_Staphylococcus_aureus_R6_2.fastq.gz
SRR14213636	Genome sequencing of Staphylococcus aureus R11	NextSeq 550	7943	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213636/SRR14213636.sra	SRR14213636.sra	SRR14213636_Genome_sequencing_of_Staphylococcus_aureus_R11.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/036/SRR14213636/SRR14213636_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/036/SRR14213636/SRR14213636_1.fastq.gz	SRR14213636_1.fastq.gz	SRR14213636_Genome_sequencing_of_Staphylococcus_aureus_R11_1.fastq.gz
SRR14213636	Genome sequencing of Staphylococcus aureus R11	NextSeq 550	7943	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213636/SRR14213636.sra	SRR14213636.sra	SRR14213636_Genome_sequencing_of_Staphylococcus_aureus_R11.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/036/SRR14213636/SRR14213636_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/036/SRR14213636/SRR14213636_2.fastq.gz	SRR14213636_2.fastq.gz	SRR14213636_Genome_sequencing_of_Staphylococcus_aureus_R11_2.fastq.gz
SRR14213633	Genome sequencing of Staphylococcus aureus R5	NextSeq 550	5859	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213633/SRR14213633.sra	SRR14213633.sra	SRR14213633_Genome_sequencing_of_Staphylococcus_aureus_R5.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/033/SRR14213633/SRR14213633_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/033/SRR14213633/SRR14213633_1.fastq.gz	SRR14213633_1.fastq.gz	SRR14213633_Genome_sequencing_of_Staphylococcus_aureus_R5_1.fastq.gz
SRR14213633	Genome sequencing of Staphylococcus aureus R5	NextSeq 550	5859	1618286400000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14213633/SRR14213633.sra	SRR14213633.sra	SRR14213633_Genome_sequencing_of_Staphylococcus_aureus_R5.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/033/SRR14213633/SRR14213633_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/033/SRR14213633/SRR14213633_2.fastq.gz	SRR14213633_2.fastq.gz	SRR14213633_Genome_sequencing_of_Staphylococcus_aureus_R5_2.fastq.gz
