Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR14216082	WGS S.aureus SA0937 derivate	Illumina MiSeq	8117	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216082/SRR14216082.sra	SRR14216082.sra	SRR14216082_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/082/SRR14216082/SRR14216082_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/082/SRR14216082/SRR14216082_1.fastq.gz	SRR14216082_1.fastq.gz	SRR14216082_WGS_S.aureus_SA0937_derivate_1.fastq.gz
SRR14216082	WGS S.aureus SA0937 derivate	Illumina MiSeq	8117	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216082/SRR14216082.sra	SRR14216082.sra	SRR14216082_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/082/SRR14216082/SRR14216082_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/082/SRR14216082/SRR14216082_2.fastq.gz	SRR14216082_2.fastq.gz	SRR14216082_WGS_S.aureus_SA0937_derivate_2.fastq.gz
SRR14216083	WGS S.aureus SA0937 derivate	Illumina MiSeq	11886	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216083/SRR14216083.sra	SRR14216083.sra	SRR14216083_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/083/SRR14216083/SRR14216083_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/083/SRR14216083/SRR14216083_1.fastq.gz	SRR14216083_1.fastq.gz	SRR14216083_WGS_S.aureus_SA0937_derivate_1.fastq.gz
SRR14216083	WGS S.aureus SA0937 derivate	Illumina MiSeq	11886	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216083/SRR14216083.sra	SRR14216083.sra	SRR14216083_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/083/SRR14216083/SRR14216083_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/083/SRR14216083/SRR14216083_2.fastq.gz	SRR14216083_2.fastq.gz	SRR14216083_WGS_S.aureus_SA0937_derivate_2.fastq.gz
SRR14216078	WGS S.aureus SA0937 derivate	Illumina MiSeq	6409	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216078/SRR14216078.sra	SRR14216078.sra	SRR14216078_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/078/SRR14216078/SRR14216078_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/078/SRR14216078/SRR14216078_1.fastq.gz	SRR14216078_1.fastq.gz	SRR14216078_WGS_S.aureus_SA0937_derivate_1.fastq.gz
SRR14216078	WGS S.aureus SA0937 derivate	Illumina MiSeq	6409	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216078/SRR14216078.sra	SRR14216078.sra	SRR14216078_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/078/SRR14216078/SRR14216078_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/078/SRR14216078/SRR14216078_2.fastq.gz	SRR14216078_2.fastq.gz	SRR14216078_WGS_S.aureus_SA0937_derivate_2.fastq.gz
SRR14216081	WGS S.aureus SA0937 derivate	Illumina MiSeq	6865	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216081/SRR14216081.sra	SRR14216081.sra	SRR14216081_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/081/SRR14216081/SRR14216081_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/081/SRR14216081/SRR14216081_1.fastq.gz	SRR14216081_1.fastq.gz	SRR14216081_WGS_S.aureus_SA0937_derivate_1.fastq.gz
SRR14216081	WGS S.aureus SA0937 derivate	Illumina MiSeq	6865	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216081/SRR14216081.sra	SRR14216081.sra	SRR14216081_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/081/SRR14216081/SRR14216081_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/081/SRR14216081/SRR14216081_2.fastq.gz	SRR14216081_2.fastq.gz	SRR14216081_WGS_S.aureus_SA0937_derivate_2.fastq.gz
SRR14216079	WGS S.aureus SA0937 derivate	Illumina MiSeq	8863	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216079/SRR14216079.sra	SRR14216079.sra	SRR14216079_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/079/SRR14216079/SRR14216079_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/079/SRR14216079/SRR14216079_1.fastq.gz	SRR14216079_1.fastq.gz	SRR14216079_WGS_S.aureus_SA0937_derivate_1.fastq.gz
SRR14216079	WGS S.aureus SA0937 derivate	Illumina MiSeq	8863	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216079/SRR14216079.sra	SRR14216079.sra	SRR14216079_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/079/SRR14216079/SRR14216079_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/079/SRR14216079/SRR14216079_2.fastq.gz	SRR14216079_2.fastq.gz	SRR14216079_WGS_S.aureus_SA0937_derivate_2.fastq.gz
SRR14216080	WGS S.aureus SA0937 derivate	Illumina MiSeq	8457	1618200000000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR142/SRR14216080/SRR14216080.sra	SRR14216080.sra	SRR14216080_WGS_S.aureus_SA0937_derivate.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR142/080/SRR14216080/SRR14216080_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR142/080/SRR14216080/SRR14216080_1.fastq.gz	SRR14216080_1.fastq.gz	SRR14216080_WGS_S.aureus_SA0937_derivate_1.fastq.gz
